PlayerID,TotalBet,TotalWin
58713,3,0
58713,3,0
58713,3,0
58713,3,12
58713,3,0
58713,3,0.8
58713,3,24.2
58713,3,0
58713,3,0
58713,3,0
58713,3,0
58713,3,1.4
58713,3,2.2
58713,3,0
58713,3,0
58713,3,0
58713,3,0
58713,3,0
58713,3,0.2
58713,3,0
58713,3,1
58713,3,0
58713,3,0
58713,3,0
58713,3,6
58713,3,0
58713,3,0
58713,3,0
58713,3,0.4
58713,3,0.4
58713,3,0
58713,3,0
58713,3,0
58713,3,0
58713,3,1.2
58713,3,0
58713,3,0
58713,3,0
58713,3,0
58713,3,1.2
58713,3,0
58713,3,0.8
58713,3,0.2
58713,3,0
58713,3,0.8
58713,3,0
58713,3,1.2
58713,3,0
58713,3,85.6
58713,3,1.2
58713,3,0
58713,3,0.2
58713,3,2
58713,3,0
58713,3,0
58713,3,0
58713,3,0
58713,3,27
58713,3,3.6
58713,3,0
58713,3,30
58713,3,0
58713,3,0
58713,3,0
58713,3,0
58713,3,0
58713,3,0
58713,3,0
58713,3,0
58713,3,0
58713,3,0.4
58713,3,0
58713,3,0.2
58713,3,0
58713,3,5.6
58713,3,0
58713,3,0
58713,3,0.4
58713,3,0
58713,3,0
58713,3,0
58713,3,0
58713,3,0
58713,3,0
58713,3,0.8
58713,3,1.8
58713,3,0.2
58713,3,0
58713,3,0
58713,3,0
58713,3,6
58713,3,0
58713,3,0
58713,3,3.6
58713,3,2
58713,3,0
58713,3,43.6
58713,3,0
58713,3,0
58713,3,0.2
58713,3,0
58713,3,0
58713,3,0
58713,3,0.4
58713,3,102.6
58713,3,0
58713,3,0.2
58713,3,0.6
58713,3,0
58713,3,0
58713,3,0
58713,3,0.2
58713,3,0.6
58713,3,0
58713,3,4.2
58713,3,0
61674,2,1.2
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0.4
61674,2,1.2
61674,3,0
61674,3,0
61674,3,0
61674,3,0
61674,3,0.2
61674,3,0
61674,3,0
61674,3,0
61674,3,9
61674,3,8.4
61674,3,0
61674,3,0.2
61674,3,0
61674,3,9
61674,3,0
61674,3,3
61674,3,0
61674,3,0
61674,3,0.2
61674,3,0
61674,2,0
61674,2,1.6
61674,2,0
61674,2,0
61674,2,1.6
61674,2,0
61674,3,5.2
61674,3,0.4
61674,3,0
61674,3,0
61674,3,0
61674,3,0.2
61674,3,0
61674,3,0.2
61674,3,0
61674,3,0
61674,3,0
61674,3,0
61674,3,0
61674,3,0
61674,3,0
61674,2,0
61674,2,0
61674,2,0
61674,2,2.4
61674,2,0
61674,2,0
61674,2,6.4
61674,2,0
61674,2,0
61674,2,1.6
61674,2,1.6
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.2
61674,2,0
61674,2,0
61674,2,0
61674,2,0.8
61674,2,9
61674,2,0
61674,2,0.8
61674,2,0
61674,2,1.6
61674,2,0
61674,2,39.4
61674,2,0
61674,2,19.2
61674,2,4.8
61674,2,0.8
61674,2,0
61674,2,1.6
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,9.6
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,2
61674,2,0
61674,2,19.2
61674,2,0
61674,2,0
61674,2,7.2
61674,2,2.4
61674,2,4
61674,2,1.6
61674,2,0
61674,2,0
61674,1,0.4
61674,1,0
61674,1,0
61674,1,0.8
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,4
61674,2,8
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,4
61674,2,0
61674,2,1.2
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.2
61674,2,0.8
61674,2,0
61674,2,4.8
61674,2,0
61674,2,0
61674,2,0
61674,2,4.8
61674,2,0
61674,2,0
61674,2,1.6
61674,2,1.6
61674,2,0.8
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,3.2
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.6
61674,2,0.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0.4
61674,2,0
61674,2,0
61674,2,0.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,21.6
61674,2,8.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.6
61674,2,0
61674,2,2.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.2
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.6
61674,2,0.8
61674,2,48
61674,2,0
61674,2,0
61674,2,0.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0.8
61674,2,0
61674,2,28.8
61674,2,0
61674,2,0
61674,2,2.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.6
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,2.4
61674,2,2
61674,2,0
61674,2,0.8
61674,2,0
61674,2,0
61674,2,0.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0.8
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,3,0
61674,3,0
61674,3,4.8
61674,3,77
61674,3,0
61674,3,3.6
61674,3,0
61674,3,0
61674,3,0
61674,3,1.4
61674,3,0
61674,3,0
61674,3,0
61674,15,0
61674,1.5,0
61674,3,1.4
61674,3,0
61674,3,0
61674,3,5.4
61674,3,0
61674,3,4
61674,3,0
61674,3,0
61674,3,1.8
61674,3,0
61674,3,0.2
61674,3,0
61674,3,0
61674,3,0
61674,3,0
61674,3,7.2
61674,3,0
61674,3,0
61674,3,0
61674,3,0
61674,3,7.8
61674,3,0
61674,3,0
61674,3,0
61674,3,0
61674,1,0
61674,1,0
61674,1,0
61674,1,0
61674,1,0
61674,1,0
61674,1,0
61674,1,0
61674,1,0
61674,1,0
61674,1,0
61674,1,0
61674,1,0
61674,1,0
61674,1,0
61674,1,0
61674,1,3
61674,1,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.6
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,2
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.6
61674,2,0
61674,2,0
61674,2,0
61674,2,0.6
61674,2,0
61674,2,3.6
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.2
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0.8
61674,2,9
61674,2,0
61674,2,6.4
61674,2,0
61674,2,3
61674,2,0
61674,2,0
61674,2,0
61674,2,4.8
61674,2,3.6
61674,2,0
61674,2,12
61674,2,6
61674,2,0
61674,2,0.8
61674,2,0.8
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0.8
61674,2,4.8
61674,2,4
61674,2,1.2
61674,2,0.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.6
61674,2,9.6
61674,2,0.4
61674,2,0
61674,2,0
61674,2,0.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0.8
61674,2,29.8
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0.8
61674,2,0
61674,2,0
61674,2,0.8
61674,2,0
61674,2,0
61674,2,0
61674,2,7.2
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.6
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,7.2
61674,2,0
61674,2,1.2
61674,2,0
61674,2,0
61674,2,0.8
61674,2,1.2
61674,2,3.2
61674,2,16.2
61674,2,0
61674,2,0
61674,2,1.8
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.2
61674,2,0
61674,2,0
61674,2,0
61674,2,0.8
61674,2,0
61674,2,19.2
61674,2,0
61674,2,0
61674,2,0
61674,2,1.8
61674,2,0
61674,2,1.2
61674,2,0
61674,2,0
61674,2,2.4
61674,2,0
61674,2,1.8
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,24
61674,2,0
61674,2,165.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,2.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,65.6
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.2
61674,2,6
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0.8
61674,2,0
61674,2,0.8
61674,2,1.2
61674,2,0.8
61674,2,0
61674,2,0
61674,2,0
61674,2,9
61674,2,0
61674,2,1.6
61674,2,3.2
61674,2,0
61674,2,2.4
61674,2,0
61674,2,0.8
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0.8
61674,2,0
61674,2,19.2
61674,2,0
61674,2,0
61674,2,0
61674,2,2.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.2
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,1.2
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0.8
61674,2,0
61674,2,0
61674,2,18
61674,2,0.6
61674,2,0
61674,2,2.4
61674,2,0
61674,2,0
61674,2,1.2
61674,2,0
61674,2,0
61674,2,0
61674,2,1.6
61674,2,0
61674,2,3.6
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,12
61674,2,0
61674,2,4
61674,2,36
61674,2,0
61674,2,0
61674,2,0
61674,2,2.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0.8
61674,2,0
61674,2,4.8
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0.6
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0.4
61674,2,0
61674,2,1.2
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,2.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,3,0
61674,3,0
61674,3,4.8
61674,3,1.2
61674,3,0
61674,3,0
61674,3,2.4
61674,3,0
61674,3,2.4
61674,3,4.8
61674,3,0
61674,2,46
61674,2,1.2
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,24
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,4
61674,2,0
61674,2,0
61674,2,0
61674,2,19.8
61674,2,0
61674,2,0
61674,2,0.8
61674,2,1.6
61674,2,1.6
61674,2,0.8
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,2.4
61674,2,0
61674,2,0
61674,2,0.8
61674,2,0
61674,2,117
61674,2,1.2
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,41
61674,2,0.8
61674,2,3.2
61674,2,0
61674,2,18
61674,2,0
61674,2,0
61674,2,0.4
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,34.6
61674,2,0
61674,2,0
61674,2,0
61674,2,0
61674,2,0
77866,3,0.3
77866,3,0
77866,3,0
77866,3,23.4
77866,3,0
77866,3,1.2
77866,3,0
77866,3,6.3
77866,3,30
77866,3,0.3
77866,3,0
77866,3,0
77866,3,17.4
77866,3,0.3
77866,3,0
77866,3,2.7
77866,3,0
77866,3,3.3
77866,3,0
77866,3,0
77866,3,0
77866,3,4.5
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,7.8
77866,3,0.3
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0.45
77866,3,0
77866,3,3
77866,3,0
77866,3,0
77866,3,12.6
77866,3,0
77866,3,0
77866,3,0
77866,3,0.15
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,1.2
77866,3,0
77866,3,1.2
77866,3,0
77866,3,8.25
77866,3,2.1
77866,3,0
77866,3,0
77866,3,12.75
77866,3,0
77866,3,0.6
77866,3,0
77866,3,0
77866,3,0
77866,3,13.35
77866,3,0
77866,3,0
77866,3,52.2
77866,3,0
77866,3,1.8
77866,3,0
77866,3,15.3
77866,3,3.6
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0.3
77866,3,0
77866,3,0
77866,3,0
77866,3,59
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,2.4
77866,3,0.4
77866,3,0.6
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,6
77866,3,0
77866,3,1.8
77866,3,4.8
77866,3,0
77866,3,1.8
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,1.8
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,10,0
77866,10,0
77866,10,0
77866,10,0
77866,10,0
77866,10,0
77866,10,0
77866,10,0
77866,10,0
77866,10,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,2.7
77866,4.5,0
77866,4.5,3
77866,4.5,10.8
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,1.8
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,144
77866,4.5,0.3
77866,4.5,0.9
77866,4.5,0.9
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,63
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0.6
77866,4.5,0
77866,4.5,46.8
77866,4.5,0
77866,4.5,2.7
77866,4.5,16.2
77866,4.5,6
77866,4.5,0
77866,4.5,0
77866,4.5,1.8
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0.3
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,0
77866,4.5,5.4
77866,4.5,17.1
77866,4.5,0
77866,4.5,0
77866,4.5,0.9
77866,4.5,0
77866,4.5,0.9
77866,3,9
77866,3,0
77866,3,0
77866,3,1.4
77866,3,0
77866,3,1.2
77866,3,0
77866,3,1.8
77866,3,0
77866,3,28.8
77866,3,0.8
77866,3,0.2
77866,3,0
77866,3,6
77866,3,0.2
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,16.2
77866,3,1.2
77866,3,0
77866,3,1.8
77866,3,0
77866,3,0
77866,3,0
77866,3,1.8
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,1.8
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0.9
77866,3,0
77866,3,0
77866,3,0
77866,3,3.6
77866,3,0.9
77866,3,12.6
77866,3,0
77866,3,9
77866,3,0
77866,3,0
77866,3,2.4
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,1.8
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0.6
77866,3,0
77866,3,0
77866,3,0
77866,3,60
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,9.6
77866,3,0
77866,3,0
77866,3,0
77866,3,2.4
77866,3,1.8
77866,3,0
77866,3,1.2
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,14.4
77866,3,2.7
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,5.4
77866,3,7.2
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,1.8
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,8.1
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,1.8
77866,3,0
77866,3,0
77866,3,12.3
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,1.2
77866,3,0
77866,3,0
77866,3,0
77866,3,4.8
77866,3,3.6
77866,3,0
77866,3,0
77866,3,0
77866,3,1.8
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,72
77866,3,1.2
77866,3,0
77866,3,0
77866,3,36
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,9
77866,3,0
77866,3,0
77866,3,7.2
77866,3,0.6
77866,3,0.6
77866,3,5.4
77866,3,0
77866,3,1.8
77866,3,0
77866,3,0
77866,3,3
77866,3,0
77866,3,2.4
77866,3,0
77866,3,2.4
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,7.2
77866,3,19.2
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0.6
77866,3,3
77866,3,0
77866,3,0
77866,3,1.2
77866,3,0
77866,3,0.6
77866,3,0
77866,3,0
77866,3,1.8
77866,3,2.4
77866,3,0
77866,3,1.2
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,2.4
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,30
77866,3,0
77866,3,0
77866,3,0
77866,3,0.6
77866,3,57.6
77866,3,29.1
77866,3,0
77866,3,7.2
77866,3,24
77866,3,117
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,2.4
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0.9
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,2.4
77866,3,0
77866,3,14.4
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,0
77866,3,3.6
77866,3,0
77866,3,0
84363,1,0
84363,2,0
84363,2,0
84363,2,0
84363,2,0
84363,2,0
84363,2,0
84363,2,0
84363,2,0
84363,2,0
