
=====================================================================================================================
                                          Overall     BaseGame     FreeGame  FreeGameAll   MysteryWin
=====================================================================================================================
[M4 x3]       441993          22.625           8.000          -7.000         3535944        0.930512        4.419930
[M5 x5]       344580          29.021          25.000         -24.000         8614500        2.266974        3.445800
[M5 x4]       422466          23.671          10.000          -9.000         4224660        1.111753        4.224660
[M5 x3]       492675          20.297           5.000          -4.000         2463375        0.648257        4.926750
[M6 x5]       201870          49.537          20.000         -19.000         4037400        1.062474        2.018700
[M6 x4]       388828          25.718          10.000          -9.000         3888280        1.023232        3.888280
[M6 x3]       605063          16.527           5.000          -4.000         3025315        0.796136        6.050630
[ A x5]        18597         537.721           7.000          -6.000          130179        0.034258        0.185970
[ A x4]        96097         104.062           4.000          -3.000          384388        0.101155        0.960970
[ A x3]        92635         107.951           3.000          -2.000          277905        0.073133        0.926350
[ K x5]        24372         410.307           7.000          -6.000          170604        0.044896        0.243720
[ K x4]        97760         102.291           4.000          -3.000          391040        0.102905        0.977600
[ K x3]        85439         117.043           3.000          -2.000          256317        0.067452        0.854390
[ Q x5]        15693         637.227           7.000          -6.000          109851        0.028908        0.156930
[ Q x4]        81940         122.041           4.000          -3.000          327760        0.086253        0.819400
[ Q x3]        58656         170.486           3.000          -2.000          175968        0.046307        0.586560
[ J x5]         8029        1245.485           7.000          -6.000           56203        0.014790        0.080290
[ J x4]        43453         230.134           4.000          -3.000          173812        0.045740        0.434530
[ J x3]        41134         243.108           3.000          -2.000          123402        0.032474        0.411340
[TE x5]            0           0.000           0.000           0.000               0        0.000000        0.000000
[TE x4]            0           0.000           0.000           0.000               0        0.000000        0.000000
[TE x3]            0           0.000           0.000           0.000               0        0.000000        0.000000
[NI x5]            0           0.000           0.000           0.000               0        0.000000        0.000000
[NI x4]            0           0.000           0.000           0.000               0        0.000000        0.000000
[NI x3]            0           0.000           0.000           0.000               0        0.000000        0.000000
[ All ]      5674147        5041.650        1172.000       -1142.000       151927427       39.980902       56.741470
=====================================================================================================================
=====================================================================================================================
============================================BaseGameMysteryWin=======================================================
=====================================================================================================================
PayComboId      Hits        Pull/Hit         Avg_Pay         Net_Pay        TotalPay    Contri(Pctg)      Hit(Pctg)
=====================================================================================================================
[MY x00]      4987845           2.005           0.000           1.000        0.000000        0.000000       49.878450
