=======================BG 倍率線型 (x=倍率, y=機率=場次/總場次, 區間下界 例:10 代表 10<=x<15)=======================================
BG odd = 0, times = 9333957, prob = 0.93339570
BG odd = 1, times = 343818, prob = 0.03438180
BG odd = 2, times = 125344, prob = 0.01253440
BG odd = 3, times = 63648, prob = 0.00636480
BG odd = 4, times = 45012, prob = 0.00450120
BG odd = 5, times = 8317, prob = 0.00083170
BG odd = 6, times = 29970, prob = 0.00299700
BG odd = 7, times = 4971, prob = 0.00049710
BG odd = 8, times = 6709, prob = 0.00067090
BG odd = 9, times = 9289, prob = 0.00092890
BG odd = 10, times = 14971, prob = 0.00149710
BG odd = 15, times = 6399, prob = 0.00063990
BG odd = 20, times = 2716, prob = 0.00027160
BG odd = 25, times = 1410, prob = 0.00014100
BG odd = 30, times = 391, prob = 0.00003910
BG odd = 35, times = 1515, prob = 0.00015150
BG odd = 40, times = 206, prob = 0.00002060
BG odd = 45, times = 280, prob = 0.00002800
BG odd = 50, times = 546, prob = 0.00005460
BG odd = 60, times = 75, prob = 0.00000750
BG odd = 70, times = 244, prob = 0.00002440
BG odd = 80, times = 74, prob = 0.00000740
BG odd = 90, times = 11, prob = 0.00000110
BG odd = 100, times = 108, prob = 0.00001080
BG odd = 120, times = 7, prob = 0.00000070
BG odd = 140, times = 0, prob = 0.00000000
BG odd = 160, times = 10, prob = 0.00000100
BG odd = 180, times = 0, prob = 0.00000000
BG odd = 200, times = 2, prob = 0.00000020
BG odd = 250, times = 0, prob = 0.00000000
BG odd = 300, times = 0, prob = 0.00000000
BG odd = 350, times = 0, prob = 0.00000000
BG odd = 400, times = 0, prob = 0.00000000
BG odd = 450, times = 0, prob = 0.00000000
BG odd = 500, times = 0, prob = 0.00000000
BG odd = 550, times = 0, prob = 0.00000000
BG odd = 600, times = 0, prob = 0.00000000
BG odd = 650, times = 0, prob = 0.00000000
BG odd = 700, times = 0, prob = 0.00000000
BG odd = 750, times = 0, prob = 0.00000000
BG odd = 800, times = 0, prob = 0.00000000
BG odd = 850, times = 0, prob = 0.00000000
BG odd = 900, times = 0, prob = 0.00000000
BG odd = 950, times = 0, prob = 0.00000000
BG odd = 1000, times = 0, prob = 0.00000000
BG odd = 2000, times = 0, prob = 0.00000000
BG odd = 3000, times = 0, prob = 0.00000000
BG odd = 4000, times = 0, prob = 0.00000000
BG odd = 5000, times = 0, prob = 0.00000000
BG odd = 6000, times = 0, prob = 0.00000000
BG odd = 7000, times = 0, prob = 0.00000000
BG odd = 8000, times = 0, prob = 0.00000000
BG odd = 9000, times = 0, prob = 0.00000000
BG odd = 10000, times = 0, prob = 0.00000000
BG odd = 20000, times = 0, prob = 0.00000000
BG odd = 30000, times = 0, prob = 0.00000000
BG odd = 40000, times = 0, prob = 0.00000000
BG odd = 50000, times = 0, prob = 0.00000000
BG odd = 60000, times = 0, prob = 0.00000000
BG odd = 70000, times = 0, prob = 0.00000000
BG odd = 80000, times = 0, prob = 0.00000000
BG odd = 90000, times = 0, prob = 0.00000000
BG odd = 100000, times = 0, prob = 0.00000000
BG odd = 9999999, times = 0, prob = 0.00000000
=======================H&S 倍率線型 (x=倍率, y=機率=場次/H&S觸發次數, 區間下界 例:10 代表 10<=x<15)=======================================
H&S odd = 0, times = 0, prob = 0.00000000
H&S odd = 1, times = 72, prob = 0.00051661
H&S odd = 2, times = 237, prob = 0.00170050
H&S odd = 3, times = 341, prob = 0.00244671
H&S odd = 4, times = 548, prob = 0.00393195
H&S odd = 5, times = 835, prob = 0.00599120
H&S odd = 6, times = 1353, prob = 0.00970790
H&S odd = 7, times = 1697, prob = 0.01217613
H&S odd = 8, times = 2002, prob = 0.01436454
H&S odd = 9, times = 2439, prob = 0.01750005
H&S odd = 10, times = 14370, prob = 0.10310610
H&S odd = 15, times = 15233, prob = 0.10929820
H&S odd = 20, times = 14457, prob = 0.10373033
H&S odd = 25, times = 12714, prob = 0.09122414
H&S odd = 30, times = 10852, prob = 0.07786412
H&S odd = 35, times = 9573, prob = 0.06868717
H&S odd = 40, times = 8287, prob = 0.05946000
H&S odd = 45, times = 6953, prob = 0.04988843
H&S odd = 50, times = 10597, prob = 0.07603447
H&S odd = 60, times = 7197, prob = 0.05163915
H&S odd = 70, times = 5020, prob = 0.03601897
H&S odd = 80, times = 3429, prob = 0.02460340
H&S odd = 90, times = 2529, prob = 0.01814581
H&S odd = 100, times = 3409, prob = 0.02445989
H&S odd = 120, times = 2081, prob = 0.01493137
H&S odd = 140, times = 1186, prob = 0.00850966
H&S odd = 160, times = 779, prob = 0.00558940
H&S odd = 180, times = 461, prob = 0.00330772
H&S odd = 200, times = 483, prob = 0.00346557
H&S odd = 250, times = 163, prob = 0.00116954
H&S odd = 300, times = 55, prob = 0.00039463
H&S odd = 350, times = 14, prob = 0.00010045
H&S odd = 400, times = 5, prob = 0.00003588
H&S odd = 450, times = 0, prob = 0.00000000
H&S odd = 500, times = 0, prob = 0.00000000
H&S odd = 550, times = 0, prob = 0.00000000
H&S odd = 600, times = 0, prob = 0.00000000
H&S odd = 650, times = 0, prob = 0.00000000
H&S odd = 700, times = 0, prob = 0.00000000
H&S odd = 750, times = 0, prob = 0.00000000
H&S odd = 800, times = 0, prob = 0.00000000
H&S odd = 850, times = 0, prob = 0.00000000
H&S odd = 900, times = 0, prob = 0.00000000
H&S odd = 950, times = 0, prob = 0.00000000
H&S odd = 1000, times = 0, prob = 0.00000000
H&S odd = 2000, times = 0, prob = 0.00000000
H&S odd = 3000, times = 0, prob = 0.00000000
H&S odd = 4000, times = 0, prob = 0.00000000
H&S odd = 5000, times = 0, prob = 0.00000000
H&S odd = 6000, times = 0, prob = 0.00000000
H&S odd = 7000, times = 0, prob = 0.00000000
H&S odd = 8000, times = 0, prob = 0.00000000
H&S odd = 9000, times = 0, prob = 0.00000000
H&S odd = 10000, times = 0, prob = 0.00000000
H&S odd = 20000, times = 0, prob = 0.00000000
H&S odd = 30000, times = 0, prob = 0.00000000
H&S odd = 40000, times = 0, prob = 0.00000000
H&S odd = 50000, times = 0, prob = 0.00000000
H&S odd = 60000, times = 0, prob = 0.00000000
H&S odd = 70000, times = 0, prob = 0.00000000
H&S odd = 80000, times = 0, prob = 0.00000000
H&S odd = 90000, times = 0, prob = 0.00000000
H&S odd = 100000, times = 0, prob = 0.00000000
H&S odd = 9999999, times = 0, prob = 0.00000000
=======================H&S 週期=======================================
H&S Period (週期, spins/trigger) = 71.7509, H&S TriggerCount = 139371, TotalSpin = 10000000
=======================整體 平均倍數 / H&S 中位數=======================================
整體 平均倍數 (mean = totalWin/totalBet) = 0.8604, H&S 中位數 (median, 整數倍率) = 31
